cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,GU,addr_clean,lat,lon,SEAT_CNT_NUM,ROOM_CNT,PKPL_NUM
11,1865,대구광역시 중구 대봉동 7-38,양식,포레스트,053-270-7773,11:30 ~ 21:00 (15:00 ~ 17:00),24석,"1대,김광석길공영주차장이용",없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"포레스트 쌀국수 12,000원<br />반세오S/L 16,000원/26,000원<br />분짜 13,000원<br />매운 소고기 쌀국수 11,000원",포레스트(PH?REST)는 베트남 현지의 맛을 정성스럽게 담아낸 아시안 비스트로입니다. <br />,지하철 2호선 경대병원역 3번 출구에서 도보로 약 390m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 7-38,35.8586783,128.603013,24,0,1
12,1864,대구광역시 중구 대봉동 7-38,한식,파슬리,053-719-2689,11:30 ~ 21:00 (평일만 15:00 ~ 17:00),24석,없음,instagram.com/par__sley_,영어 ,가능,불가능,불가능,불가능,"소갈비크림리조또 16,000원<br />바질새우오일파스타 15,000원<br />스테이크트러플크림리조또 16,000원<br />라구파스타 15,000원",김광석거리 인근에 위치한 파슬리는 감성적인 분위기와 정성스러운 요리로 많은 이들의 사랑을 받고 있는 양식당입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 390m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 7-38,35.8586783,128.603013,24,0,0
13,1863,"대구광역시 중구 남산동 3006, 효성해링턴 상가 1층 304동 105-2호",일식,남산에,0507-1483-0611,평일 11:30~20:30 (주말 12:00~19:30),13석,탑마트주차장이용가능(1시간무료),www.instagram.com/j_swoooo,영어 ,불가능,불가능,불가능,불가능,"남산동까스 12,000원<br />히레카츠 13,500원<br />남산타레 11,000원<br />타레토리 12.000원",남산에는 지리산 흑돼지를 사용한 두툼한 돈까스로 유명한 돈까스 전문점입니다.,"지하철 1,2호선 반월당역 2번 출구에서 도보로 약 391m 거리.",버스 정류장은 반월당역(2번출구) 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 3006,35.8616174,128.587267,13,0,1
14,1862,대구광역시 중구 삼덕동1가 17-23,특별한 술집,나빌레라,0507-1354-8378,16:00 ~ 02:00 (금/토 16:00 ~ 03:00),36석,없음,www.instagram.com/navillera_daegu,영어 ,가능,불가능,불가능,불가능,"에크인헬 19,000원<br />투움바파스타 12,500원<br />목살필라프 12,500원","나빌레라 는 맛있는 술과 안주 매력적인 분위기로 칵테일, 와인, 맛있는 안주를 즐길 수 있는 감성과 휴식이 공존하는 특별한 공간입니다.","지하철 1,2호선 반월당역 10번 출구에서 도보로 약 433m 거리.",버스 정류장은 약령시건너(동성로입구) 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동1가 17-23,35.86596,128.59744,36,0,0
15,1860,대구광역시 중구 남산동 938-8,한식,반월당 부자식당,053-252-1523,11:00 ~ 22:50 (브레이크 타임 15:30 ~ 17:00),56석(룸3),4대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"직화부자석갈비(2인이상) 14,000원<br />직화제육볶음(2인이상) 12,000원 <br />직화오징어볶음(2인이상) 13,000원 <br />시골청국장&amp;비빔밥 10,500원",반월당 부자식당은 38년 경력의 어머니 손맛을 이어받아 2대째 운영 중인 직화볶음 요리 전문점입니다.,지하철 1/2호선 반월당역 21번 출구에서 도보로 약 141m 거리.,버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 938-8,35.8616174,128.587267,56,3,4
16,1859,대구광역시 중구 삼덕동3가 326-1,일식,몬도카츠,0507-1311-4592,11:30 ~ 20:30 (브레이크 타임 15:00 ~ 16:30),16석,없음,app.catchtable.co.kr/ct/shop/mondokatsu?from=share&amp;type=WAITING,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"특로스카츠 16,000원<br />로스카츠 14,000원<br />히레카츠 15,000원<br />모듬카츠 18,000원<br />에비모듬카츠 16,000원",몬도카츠는 일본식 돈카츠의 정수를 보여주는 곳입니다. <br />,지하철 2호선 경대역 4번 출구에서 도보로 약 489m 거리.,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동3가 326-1,35.8644339,128.6083594,16,0,0
17,1816,대구광역시 중구 삼덕동2가 149-6,한식,장모님국밥,053-425-9347,09:00 ~ 21:00,40석(룸1),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"[저염메뉴] 순대국밥 9,000원 <br />돼지국밥 9,000원<br />섞어국밥 9,000원<br />수육 25,000원 ~ 30,000원 <br />순대한접시 12,000원",장모님국밥은 대구에서 유일한 특별한 돼지국밥을 제공하는 전문점입니다.,지하철 2호선 경대병원역 1번 출구에서 도보로 약 123m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동2가 149-6,35.8655913,128.6022777,40,1,0
18,1810,대구광역시 중구 동인동4가 4,한식,춘천옥,053-422-3333,09:00 ~ 19:30,40석(룸1),없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곰탕/양곰탕 11,000원<br />냉면 9,000원<br />갈비탕 11,000원 <br />막국수 9,000원<br />소갈비찜 30,000원 ~ 70,000원","춘천옥 은 곰탕, 양곰탕, 냉면, 갈비탕 등 다양한 국물과 면 요리를 맛볼 수 있는 한식당입니다.",지하철 1호선 칠성시장역 3번 출구에서 도보로 약 862m 거리.,버스 정류장은 중구청앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동4가 4,35.866991,128.6102782,40,1,0
19,1807,대구광역시 중구 대봉동 17-10,한식,청해회수산,053-422-6921,16:00 ~ 00:00,30석,없음,없음,영어 ,불가,불가능,불가능,불가능,"모듬회 30,000원 ~ 60,000원 <br />세꼬시(도다리) 33,000원 ~ 63,000원 <br />회물회 11,000원<br />",청해회수산 은 매일 산지 직송 받는 맛있고 신선한 회를 합리적인 가격에 푸짐하게 드실 수 있는 회.해산물.세꼬시 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 397m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 17-10,35.8586783,128.603013,30,0,0
20,1806,대구광역시 중구 삼덕동3가 284,특별한 술집,유랑,053-253-0660,18:00 ~ 01:00 (금-일 17:00 ~ 02:00),20석,없음,app.catchtable.co.kr/ct/shop/cave_urang?from=share,영어 일본어 중국어 ,가능,불가능,불가능,불가능,"네츄럴 스테이크 28,000원 <br />일그라파 파스타 17,000원 <br />한우비프타르타르 19,000원 <br />구운볼락리조또 15,000원<br />",삼덕동에 위치한  까브유랑 은 가성비 좋은 와인이 많은 분위기 좋은 와인바입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 454m 거리.,버스 정류장은 방천시장(김광석길)건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동3가 284,35.8644339,128.6083594,20,0,0
21,1805,대구광역시 중구 동인동3가 220-3,특별한 술집,와리바시,053-422-3888,"18:00 ~ 02:00 (금,토 18:00~02:00)",10석,없음,app.catchtable.co.kr/ct/shop/waribasibar,영어 ,가능,불가능,불가능,불가능,"닭육수오뎅탕 23,000원 <br />오코노미야키 16,000원 <br />철판야키소바 17,000원 <br />명란김말이튀김 14,000원 <br />모듬 야키토리 13,000원<br />",동인동 작은 골목 안에 위치한 와리바시 는 일식 요리와 사케를 즐길 수 있는 공간입니다.,주변에 가까운 지하철역이 없습니다.,버스 정류장은 동인초등학교건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동3가 220-3,35.87165,128.61001,10,0,0
22,1793,대구광역시 중구 봉산동 37-33,양식,조밀,070-8888-0505,11:30 ~ 21:30 (브레이크타임 15:00 ~ 17:00),30석,없음,instagram.com/_jomeal,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"조밀 스테이크 26,000원<br />마늘쫑파스타 12,000원<br />새우바질리조또 13,000원<br />마늘 퓨레 파스타 12,000원","조밀 은 스테이크, 파스타, 리조또를 판매하는 양식당으로 다른 양식당에서 보실 수 없는 특별한 조밀만의 메뉴를 즐기실 수 있습니다.","지하철 1,2호선 반월당역 11번 출구에서 도보로 약 12m 거리",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.,중구,대구광역시 중구 봉산동 37-33,35.86322,128.59761,30,0,0
23,1792,대구광역시 중구 공평동 1-5,양식,로니스도우,010-****-6176,11:00 ~ 24:00  (브레이크타임 15:00~17:00),49석,없음,www.instagram.com/ronnies_dough,가능한 외국어가 없습니다.,평일 가능,불가능,불가능,불가능,"half&amp;half 24,000원 ~ 30,000원<br />페퍼로니 23,000원 ~ 29,000원<br />하와이안 23,000원 ~ 29,000원<br />핫치킨 23,000원 ~ 39,000원<br />",Simple is the best. The original pizza! 기본에 충실하며 모두가 좋아할 수 있는 베이직한 오리지널 피자!<br />,지하철 1호선 중앙로역 3번 출구에서 도보로 약 461m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 1-5,35.87032,128.59819,49,0,0
24,1791,대구광역시 중구 동문동 4-9,세계요리,야자수지붕,053-256-3723,11:30 ~ 20:30 (토요일 11:30~15:00),24석,없음,www.facebook.com/profile.php?id=100034170044014,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"꿍팟퐁커리 18,000원 <br />소고기 쌀국수 12,000원 <br />팟타이 12,000원 <br />시리얼 새우 17,000원 <br />그린커리 12,500원<br />","야자수지붕 은 태국 왕실에서 인증한 요리 학교에서 교육 과정을 정식으로 수료 하였으며, 베트남 하노이 현지 유명 레스토랑과 파트너쉽을 체결 현지의 맛을 재현해 내는데 중점을 두고 있는 태국, 베트남 음식 전문점입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 533m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동문동 4-9,35.87223,128.59655,24,0,0
25,1790,대구광역시 중구 대안동 22,양식,노세콘도(Nosecondo),053-423-1678,12:00 ~ 21:00,32석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"파빠르델레 파스타 21,000원<br />단호박 뇨끼 25,000원<br />멜란자네 12,000원<br />","No Secondo의 속과 본질은 antipasto, primo, secondo, dolce로 이루어진 이탈리아 정찬에서 과감히 secondo;세콘도를 제외하고 다양하고 합리적인 핸드메이트 파스타와 내추럴을 포함하는 다채로운 와인을 주재로 합니다.<br />",지하철 1호선 중앙로역 3번 출구에서 도보로 약 386m,버스 정류장은 대구콘서트하우스건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대안동 22,35.87304,128.59149,32,0,0
26,1789,대구광역시 중구 동인동4가 176-1,전통차/커피전문점,카페로건,053-216-1674,"07:30 ~ 17:00 (토,공휴일 09:00 ~ 15:00)",8석,인근공영주차장이용,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"로건 라떼 4,500원<br />아메리카노 3,500원<br />자두에이드 4,500원",카페로건 은 품질 좋은 원두만 사용한 커피와 디저트가 맛있는 카페입니다.,지하철 2호선 경대병원역 4번 출구 도보로 약 896m 거리.,버스 정류장은 중구청건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동4가 176-1,35.866991,128.6102782,8,0,1
27,1788,대구광역시 중구 남성로 111,전통차/커피전문점,리시트2,010-****-5505,09:00 ~ 21:00 (주말 10:00 ~ 21:00),28석,없음,없음,영어 ,가능,불가능,불가능,불가능,"리시트커피 4,500원<br />너티크림라떼 5,500원<br />크로와상 샌드위치 7,200원<br />",리시트 는 직접 로스팅한 원두를 사용해 진하고 고소한 에스프레소가 인상적인 카페입니다.,"지하털 1,2호선 반월당역 18번 출구에서 도보로 약 248m 거리.",버스 정류장은 약령시입구 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남성로 111,35.8683,128.58952,28,0,0
28,1787,대구광역시 중구 남산동 938-9,한식,남산면,053-568-9090,11:00 ~ 21:00,56석(룸4),없음,없음,영어 ,가능,불가능,불가능,가능,"매생이 굴국밥 9,500원<br />매생이 칼국수 9,000원<br />매생이 굴전 18,000원<br />","우리 몸에 좋은 매생이, 생굴 중심으로 질 좋은 식재료를 음식의 재료로 사용하는 것을 고집하며 30년 노하우를 살려 청결, 친절하게 맛있는 음식을 제공하고자 노력하는 업소입니다. 오래된 한옥을 개조하여 가정집 분위기를 느낄 수 있는 인테리어로 한끼 식사를 하는 동안에도 편안함을 느낄 수 있습니다.<br />","지하철 1,2호선 반월당역 20번 출구에서 도보로 약 128m 거리.",버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 남산동 938-9,35.8616174,128.587267,56,4,0
29,1786,대구광역시 중구 봉산동 225-5,디저트/베이커리,카이스샌드위치샵,010-****-3774,08:00 ~ 17:30,44석,없음,instagram.com/kais_sandwichshop,영어 일본어 ,가능,불가능,불가능,불가능,"루벤 샌드위치 8,500원 <br />에그인헬 13,000원 <br />프렌치 토스트 17,000원 <br />아메리카노 4,500원<br />","카이스샌드위치샵은 항상 좋은 재료와 정성을 가득 담아 음식을 만들고 있으며, 다른 브런치카페에서는 맛 볼 수 없는 고퀄리티의 맛을 추구합니다. <br />","지하철 1,2호선 반월당역 9번 출구 도보로 약 332m 거리.",버스 정류장은 봉산가구골목(서편) 정류장이 가장 가깝습니다.,중구,대구광역시 중구 봉산동 225-5,35.86322,128.59761,44,0,0
30,1785,대구광역시 중구 공평동 1-1,양식,오일리버거,053-213-0512,"11:00 ~ 21:00 (금,토 11:00 ~ 22:00)",18석,"공영주차장,가까운유료주차장이용",www.instagram.com/oilyburger/,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오일리버거 8,000원<br />쉬림프버거 8,500원<br />트로피컬버거 8,500원<br />에그해쉬버거 9,000원",오일리버거 는 빠르고 간편한 패스트푸드의 본질은 유지하면서 신선한 식재료들만으로 구성하여 안심하고 먹을 수 있는 건강한 프리미엄 수제버거 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 452m 거리.,버스 정류장은 2.28기념중앙공원건너2 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 1-1,35.87032,128.59819,18,0,1
31,1784,대구광역시 중구 공평동 72-5,디저트/베이커리,팜테이블,053- 256-7436,11:00 ~ 22:00,46석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"수플레 팬케이크 13,000원<br />크림브륄레팬케이크 17,000원<br />더치베이비 12,000원<br />",팜테이블 은 여러 가지의 팬케이크를 한국식으로 풀어낸 한국 최초의 팬케이크 전문점입니다.,지하철 1호선 중앙로역 2번 출구에서 약 678m 거리.,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 72-5,35.87032,128.59819,46,0,0
32,1783,대구광역시 중구 공평동 10-2,한식,동아식당,010-****-1017,11:30 ~ 21:00,12석,없음(유료주차장),www.instagram.com/dongah__,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"계란김밥 8,000원 <br />차돌깻잎국수 12,000원 <br />들기름 국수 11,000원 <br />제육볶음밥 10,000원<br />",동아식당은 익숙함을 바라보는 새로운 관점이라는 메시지 아래에서 경상도의 지역성과 계절성을 이곳만의 시각으로 퓨전 한식을 담고 있습니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 481m 거리.,버스 정류장은 대구시동인청사건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 공평동 10-2,35.87032,128.59819,12,0,0
33,1732,대구광역시 중구 동인동2가 61-10,한식,모두국밥,0507-1308-1567,07:00 ~ 21:00,48석(룸1개),없음,없음,가능한 외국어가 없습니다.,가능,불가능,가능,가능,"순대국 8,000원 <br />뼈해장국 8,000원 <br />순대정식 11,000원<br />",모두국밥 은 한국인의 입맛에 맞춘 푸짐한 한 끼의 국밥을 남녀노소 모두 좋아할 수 있는 브랜드로 발전 시켜온 국밥 전문점입니다.,지하철 1호선 칠성시장역 3번 출구에서 도보로 약 738m 거리.,버스 정류장은 동인치안센터건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동인동2가 61-10,35.8688601,128.6030345,48,1,0
34,1694,대구광역시 중구 삼덕동2가 219-1,한식,송림식당,053-424-3838,11:00 ~ 20:30,80석,9대,없음,영어 ,가능,불가능,불가능,가능,"복어매운탕/지리 9,000원<br />밀복매운탕/지리 12,000원<br />복어수육 45,000원<br />모듬회 20,000원<br />껍질무침 15,000원",송림복어 는 50년 이상 전통의 복어 요리 전문점입니다.,지하철 2호선 경대벽원역 4번 출구에서 도보로 약 232m 거리.,버스 정류장은 경북대학교병원앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동2가 219-1,35.8655913,128.6022777,80,0,9
35,1688,대구광역시 중구 동성로2가 70-1,한식,중앙떡볶이,053-424-7692,11:30 ~ 18:00 (브레이크타임 15:30~17:30),50석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"쌀떡볶이+납작만두 (섞어 1인분) 4,500원 <br />쌀떡볶이 4,500원 <br />납작만두 4,500원 <br />순대 4,500원<br />",30년 이상 한 자리를 지켜온 동성로의 명물 박석규 중앙떡볶이 쌀로 만든 떡볶이와 납작만두가 별미인 분식점입니다.,지하철 1호선 중앙로역 2번 출구에서 도보로 약 365m,버스 정류장은 2.28기념중앙공원앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 동성로2가 70-1,35.86738,128.5937,50,0,0
36,1661,대구광역시 중구 대봉동 31-67,양식,가스트로락(Gastro락),053-281-5959,11:30 ~ 22:30 (브레이크 타임 15:00 ~ 18:00),24석,김광석거리공용주차장이용또는대동철공소옆공간,없음,영어 ,가능,불가능,불가능,가능,"런치코스 36,000원 ~ 39,000원<br />디너코스 59,000원 ~ 69,000원<br />",가스트로락은 유러피언 코스요리를 선보이고 있으며 1인 레스토랑 운영으로 퀄리티 높은 음식을 가성비 좋게 즐길 수 있습니다.<br />,지하철 2호선 경대병원역  3번 출구에서 도보로 약 544m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,대구광역시 중구 대봉동 31-67,35.8586783,128.603013,24,0,1
37,1648,대구광역시 중구 삼덕동1가 14-3,세계요리,차이,053-254-3965,12:00 ~ 22:00 (브레이크타임 15:30 ~ 17:00),26석,없음(인근유료주차장이용),instagram.com/chai_daegu,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"팟타이 15,000원<br />아시안슈림프라이스 17,000원<br />팟씨유(치킨) 15,000원 <br />로제 가츠돈 14,000원 <br />",차이 는 미들급 다이닝을 지향하는 태국 요리 및 일본 요리 등 아시안 퓨전 음식 전문점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 323m 거리.",버스 정류장은 2호선반월당역1 정류장이 가장 가깝습니다.,중구,대구광역시 중구 삼덕동1가 14-3,35.86596,128.59744,26,0,0
38,1647,대구광역시 중구 종로2가 1,일식,종로횟집,053-252-5858,11:00~01:00 (브레이크 타임 14:30~16:30),100석,없음(인근유료주차장이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"모듬회(소) 55,000원 <br />방어회(소) 70,000원 <br />물회 17,000원<br /><br />","종로횟집 은 신선한 해산물과 회, 물회가 유명한 이자카야 횟집입니다.",지하철 1호선 중앙로역 1번 출구에서 도보로 약 231m 거리.,버스 정류장은 만경관건너 정류장이 가장 가깝습니다.,중구,대구광역시 중구 종로2가 1,35.86834,128.5919,100,0,0
